"","Molecular Family","Motifs"
"1",69,"motif_179"
"2",153,"motif_127,motif_169"
"3",403,"rhamn_motif_60.m2m,motif_119"
"4",82,"motif_121,motif_119,motif_132"
"5",322,"motif_152,motif_147"
"6",632,"motif_142"
