"","Molecular Family","Motifs"
"1",1044,"motif_250,motif_251,motif_144"
"2",50,"motif_290,motif_144"
"3",666,"motif_106"
"4",259,"motif_144,motif_250,motif_290,motif_148"
"5",1025,"motif_148,motif_282,motif_251"
"6",384,"motif_148,motif_290"
"7",87,"motif_148,motif_149"
"8",6,"motif_250,motif_149,motif_211,motif_146"
"9",150,"gnps_motif_170.m2m,motif_251"
"10",232,"motif_250,motif_290,motif_154,gnps_motif_45.m2m,motif_102"
"11",1160,"gnps_motif_14.m2m"
"12",189,"motif_268"
