"","Molecular Family","Motifs"
"1",172,"motif_228"
"2",158,"motif_186"
"3",803,"motif_114,motif_122"
"4",91,"motif_291,motif_205,motif_218,motif_179,motif_156"
"5",997,"motif_122"
