"","Molecular Family","Motifs"
"1",403,"rhamn_motif_60.m2m,motif_119"
"2",26,"rhamn_motif_120.m2m"
"3",89,"motif_130,motif_165"
"4",462,"motif_165,motif_86"
"5",120,"motif_37"
"6",532,"motif_39"
"7",324,"motif_39"
"8",117,"motif_39"
"9",137,"motif_39,motif_164"
