"","Molecular Family","Motifs"
"1",153,"motif_127,motif_169"
"2",403,"rhamn_motif_60.m2m,motif_119"
"3",50,"motif_39,motif_149,motif_104"
"4",54,"motif_150"
"5",411,"motif_33,motif_177"
"6",267,"motif_130,motif_47"
"7",524,"motif_96"
"8",93,"motif_168"
