"ComponentIndex","Cosine","DeltaMZ","EdgeAnnotation","EdgeType","interaction","MEH","name","OtherScore","selected","shared interaction","shared name","shared_motifs","TopSharedMotifs"
"50","0.8527","-46.006","motif_39","Mass2Motif","motif_39","1515.0","1515 (-) 1617","1515.0","false","motif_39","1515 (-) 1617","motif_39","motif_39,motif_149,motif_104"
"50","0.9121","-35.976","","Cosine","cosine","1515.0","1515 (-) 1604","1515.0","false","cosine","1515 (-) 1604","motif_39","motif_39,motif_149,motif_104"
"50","0.9121","-35.976","motif_39","Mass2Motif","motif_39","1515.0","1515 (-) 1604","1515.0","false","motif_39","1515 (-) 1604","motif_39","motif_39,motif_149,motif_104"
"50","0.9066","-26.016","","Cosine","cosine","1515.0","1515 (-) 1577","1515.0","false","cosine","1515 (-) 1577","motif_39","motif_39,motif_149,motif_104"
"50","0.9066","-26.016","motif_39","Mass2Motif","motif_39","1515.0","1515 (-) 1577","1515.0","false","motif_39","1515 (-) 1577","motif_39","motif_39,motif_149,motif_104"
"50","0.9311","-175.09900000000002","","Cosine","cosine","1515.0","1515 (-) 1866","1515.0","false","cosine","1515 (-) 1866","motif_39","motif_39,motif_149,motif_104"
"50","0.9311","-175.09900000000002","motif_39","Mass2Motif","motif_39","1515.0","1515 (-) 1866","1515.0","false","motif_39","1515 (-) 1866","motif_39","motif_39,motif_149,motif_104"
"50","0.9418","-30.011","","Cosine","cosine","1515.0","1515 (-) 1588","1515.0","false","cosine","1515 (-) 1588","motif_149","motif_39,motif_149,motif_104"
"50","0.9418","-30.011","motif_149","Mass2Motif","motif_149","1515.0","1515 (-) 1588","1515.0","false","motif_149","1515 (-) 1588","motif_149","motif_39,motif_149,motif_104"
"50","0.8943","-145.089","","Cosine","cosine","1515.0","1515 (-) 1823","1515.0","false","cosine","1515 (-) 1823","motif_39","motif_39,motif_149,motif_104"
"50","0.8943","-145.089","motif_39","Mass2Motif","motif_39","1515.0","1515 (-) 1823","1515.0","false","motif_39","1515 (-) 1823","motif_39","motif_39,motif_149,motif_104"
"-1","1.0","0.0","","Cosine","cosine","1.0","1516 (-) 1516","1.0","false","cosine","1516 (-) 1516","motif_164,motif_125","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_164","Mass2Motif","motif_164","1.0","1516 (-) 1516","1.0","false","motif_164","1516 (-) 1516","motif_164,motif_125","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_125","Mass2Motif","motif_125","1.0","1516 (-) 1516","1.0","false","motif_125","1516 (-) 1516","motif_164,motif_125","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","1517 (-) 1517","1.0","false","cosine","1517 (-) 1517","motif_176,motif_39","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_176","Mass2Motif","motif_176","1.0","1517 (-) 1517","1.0","false","motif_176","1517 (-) 1517","motif_176,motif_39","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_39","Mass2Motif","motif_39","1.0","1517 (-) 1517","1.0","false","motif_39","1517 (-) 1517","motif_176,motif_39","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","1518 (-) 1518","1.0","false","cosine","1518 (-) 1518","","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","","Cosine","cosine","1.0","1519 (-) 1519","1.0","false","cosine","1519 (-) 1519","motif_142,motif_176,motif_164","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_142","Mass2Motif","motif_142","1.0","1519 (-) 1519","1.0","false","motif_142","1519 (-) 1519","motif_142,motif_176,motif_164","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_176","Mass2Motif","motif_176","1.0","1519 (-) 1519","1.0","false","motif_176","1519 (-) 1519","motif_142,motif_176,motif_164","motif_142,motif_89,motif_51,motif_132,motif_97"
"-1","1.0","0.0","motif_164","Mass2Motif","motif_164","1.0","1519 (-) 1519","1.0","false","motif_164","1519 (-) 1519","motif_142,motif_176,motif_164","motif_142,motif_89,motif_51,motif_132,motif_97"
